name,ra,dec
AND,"[23.5357132, 23.4684925, 23.4012642, 23.3340359, 23.2668228, 23.1996002, 23.1323795, 23.0651703, 22.9979553, 22.9643536, 22.9640121, 22.9636593, 22.9632988, 22.9629288, 22.9625473, 22.9621544, 22.96175, 22.9613323, 22.9608994, 22.960453, 22.9599895, 22.9595108, 22.959013, 22.9584942, 22.9579544, 22.9573917, 22.9568043, 22.9561901, 23.0238838, 23.0915947, 23.1593113, 23.2270184, 23.2947426, 23.3624706, 23.4301929, 23.4305458, 23.4308815, 23.4310455, 23.4986877, 23.5663319, 23.6339684, 23.6847038, 23.6848907, 23.6850719, 23.752655, 23.82024, 23.8878155, 23.9554024, 0.0229885, 0.0905643, 0.1074647, 0.107464, 0.1750507, 0.2426267, 0.2764245, 0.2763196, 0.2762186, 0.343731, 0.4112523, 0.4787721, 0.5462801, 0.6137962, 0.6813101, 0.7488112, 0.8163198, 0.8838252, 0.9513171, 0.9850718, 0.98549, 0.9859245, 1.0534713, 1.1210239, 1.1885718, 1.2392272, 1.2397984, 1.2403936, 1.3079867, 1.3755841, 1.4431757, 1.4938624, 1.5614324, 1.6290057, 1.6965717, 1.7641202, 1.7979016, 1.7970439, 1.7962207, 1.7954293, 1.8628778, 1.9303292, 1.9977728, 2.0651987, 2.1326268, 2.1747661, 2.1757128, 2.1766977, 2.1777239, 2.1782534, 2.2457559, 2.3132584, 2.3807509, 2.4482231, 2.5156949, 2.5831554, 2.6505952, 2.6590319, 2.6577818, 2.6565828, 2.6554313, 2.6543233, 2.6532564, 2.6522274, 2.6512334, 2.6502728, 2.6493428, 2.6484418, 2.6475675, 2.6467187, 2.6458936, 2.6452894, 2.5781407, 2.5109851, 2.4438329, 2.3766644, 2.3094895, 2.2423182, 2.1751311, 2.1247394, 2.1240916, 2.1236167, 2.0564523, 1.9892926, 1.9221179, 1.8549383, 1.787764, 1.720575, 1.6533816, 1.586194, 1.527389, 1.5269367, 1.5264951, 1.4593388, 1.3921689, 1.3249958, 1.2578294, 1.19065, 1.1234679, 1.056293, 0.9891056, 0.9219158, 0.8547338, 0.8295376, 0.8293061, 0.8290796, 0.8288581, 0.8286411, 0.8284283, 0.8282195, 0.8280146, 0.8278132, 0.8276151, 0.8275661, 0.8945809, 0.9616043, 0.9616043, 0.9613772, 0.9611534, 0.9609877, 0.8940091, 0.8270392, 0.7600582, 0.6930759, 0.6261029, 0.5591189, 0.492134, 0.4251586, 0.3581726, 0.2911861, 0.2493281, 0.2493763, 0.1823728, 0.1740011, 0.1740313, 0.1740618, 0.1740929, 0.1741245, 0.1741567, 0.1741895, 0.1070811, 0.107096, 0.1071111, 0.1071266, 0.1071318, 0.1071318, 0.1071325, 0.0399608, 23.9727974, 23.9056263, 23.8552494, 23.8552055, 23.7880211, 23.7208462, 23.6536636, 23.6032772, 23.6031418, 23.6030045, 23.6029453]","[35.1897736, 35.1880264, 35.1860695, 35.1838989, 35.1815186, 35.1789322, 35.1761322, 35.17313, 35.1699181, 35.1682358, 36.1682281, 37.1682205, 38.1682091, 39.1682014, 40.16819, 41.1681786, 42.1681709, 43.1681557, 44.168148, 45.1681366, 46.1681252, 47.1681137, 48.1681023, 49.168087, 50.1680717, 51.1680603, 52.1680412, 53.1680298, 53.1713676, 53.1744957, 53.1774216, 53.1801338, 53.1826363, 53.1849251, 53.1870041, 52.1870117, 51.1870155, 50.6870193, 50.6888847, 50.6905365, 50.6919746, 50.6929131, 49.6929131, 48.6929169, 48.6939774, 48.694828, 48.6954613, 48.6958809, 48.6960831, 48.6960716, 48.6960373, 48.6960373, 48.695755, 48.6952629, 48.6949348, 47.6949348, 46.6949348, 46.6941185, 46.6930885, 46.6918449, 46.6903877, 46.6887169, 46.6868362, 46.684742, 46.6824379, 46.6799202, 46.6771965, 46.6757545, 47.6757469, 48.6757393, 48.672699, 48.6694489, 48.6659966, 48.663269, 49.66325, 50.6632347, 50.65942, 50.6553993, 50.6511765, 50.6478767, 50.6433029, 50.6385307, 50.633564, 50.6283989, 50.6257439, 49.6257782, 48.6258125, 47.625843, 47.6203957, 47.6147575, 47.6089287, 47.6029167, 47.5967178, 47.5927505, 48.5927048, 49.5926552, 50.5926094, 51.0925827, 51.0860786, 51.0793915, 51.0725288, 51.0654869, 51.0582733, 51.0508881, 51.0433311, 51.0423737, 50.0424461, 49.042511, 48.0425797, 47.0426407, 46.0427017, 45.0427628, 44.0428162, 43.0428696, 42.0429268, 41.0429764, 40.043026, 39.0430756, 38.0431213, 37.2931557, 37.3006973, 37.3080711, 37.3152733, 37.3223038, 37.3291588, 37.3358345, 37.3423309, 37.347084, 36.3471146, 35.5971375, 35.6033134, 35.6093025, 35.6151047, 35.6207199, 35.6261444, 35.6313782, 35.6364174, 35.6412582, 35.6453362, 34.6453514, 33.6453705, 33.6498375, 33.65411, 33.6581841, 33.6620522, 33.6657181, 33.669178, 33.6724358, 33.6754837, 33.6783295, 33.6809616, 33.6818962, 32.6819, 31.6819019, 30.6819096, 29.6819115, 28.6819153, 27.681921, 26.6819229, 25.6819267, 24.6819305, 24.4319324, 24.4293823, 24.4266243, 24.4266243, 23.4266281, 22.4266338, 21.6766376, 21.6793938, 21.681942, 21.6842804, 21.6864109, 21.6883316, 21.6900406, 21.6915398, 21.6928253, 21.6938992, 21.6947613, 21.6951923, 22.6951923, 22.6957092, 22.6957588, 23.6957569, 24.6957588, 25.6957588, 26.6957569, 27.6957588, 28.6957588, 28.6960354, 29.6960354, 30.6960354, 31.6960335, 32.0293655, 32.0293655, 32.0293655, 32.0294266, 32.0292778, 32.0289154, 32.0285034, 32.7785072, 32.777771, 32.7768211, 32.7756577, 32.7746468, 33.7746429, 34.7746429, 35.1913109]"
ANT,"[9.7783384, 9.7113781, 9.644412, 9.5774498, 9.5105019, 9.460289, 9.459672, 9.4590445, 9.4584064, 9.457756, 9.4570932, 9.4564171, 9.4557276, 9.4550228, 9.4543018, 9.4535646, 9.4528093, 9.452035, 9.4514399, 9.4506292, 9.4497957, 9.4489374, 9.5161295, 9.5833397, 9.6505566, 9.7177706, 9.7850018, 9.8522406, 9.9194756, 9.9867277, 10.0539856, 10.1212397, 10.1885099, 10.2557859, 10.3230572, 10.3903446, 10.4576368, 10.5249233, 10.592226, 10.6595325, 10.7268333, 10.7941504, 10.8614693, 10.9287825, 10.996109, 11.0634394, 11.0971003, 11.0974379, 11.0977669, 11.0980854, 11.0983963, 11.0986242, 11.0313978, 10.9641838, 10.9305677, 10.9309158, 10.9312563, 10.9315882, 10.931859, 10.8647242, 10.7975826, 10.730442, 10.6800919, 10.68048, 10.6808596, 10.6137714, 10.5466766, 10.4795847, 10.4125061, 10.3454218, 10.3458796, 10.3463278, 10.3466225, 10.2795849, 10.2125607, 10.1455297, 10.0785017, 10.0114889, 9.9444685, 9.8774529, 9.8439522, 9.8445024, 9.8450441, 9.8453121]","[-24.5768433, -24.5699406, -24.5628624, -24.5556126, -24.5481949, -24.5425186, -25.5424843, -26.542448, -27.5424118, -28.5423756, -29.5423374, -30.5422993, -31.5422573, -32.5422173, -33.5421791, -34.5421333, -35.5420914, -36.5420494, -37.2920151, -38.2919693, -39.2919197, -40.2918739, -40.2994461, -40.3068504, -40.3140831, -40.3211441, -40.3280334, -40.3347435, -40.3412704, -40.3476181, -40.3537865, -40.3597641, -40.3655586, -40.3711624, -40.3765755, -40.381794, -40.3868217, -40.3916512, -40.396286, -40.4007225, -40.4049568, -40.4089928, -40.4128227, -40.4164505, -40.4198723, -40.4230919, -40.4246216, -39.4246292, -38.4246368, -37.4246445, -36.4246483, -35.6746559, -35.6715469, -35.668232, -35.6664963, -34.6665039, -33.6665154, -32.666523, -31.8332005, -31.8295822, -31.8257599, -31.8217373, -31.8185863, -30.8186016, -29.8186131, -29.8142414, -29.8096714, -29.804903, -29.799942, -29.7947845, -28.7948036, -27.7948189, -27.1281624, -27.1228161, -27.117281, -27.1115551, -27.1056423, -27.0995464, -27.0932636, -27.0868015, -27.0835037, -26.0835304, -25.0835571, -24.5835705]"
APS,"[13.8582325, 13.8653402, 13.8736773, 13.8835964, 13.8956051, 13.9104509, 13.929285, 13.9407406, 14.0132723, 14.0857468, 14.1581507, 14.2304735, 14.3027325, 14.3749161, 14.447011, 14.5190382, 14.5909834, 14.6628351, 14.7346144, 14.8063059, 14.8778982, 14.9494133, 15.0208368, 15.0921564, 15.163394, 15.2345362, 15.3055716, 15.3765192, 15.4473686, 15.5181074, 15.5887575, 15.6593037, 15.7297363, 15.8000765, 15.8703108, 15.9404287, 16.0104542, 16.0803699, 16.1501656, 16.2198658, 16.2894573, 16.3589287, 16.4283009, 16.4975605, 16.5667, 16.6357403, 16.704668, 16.7734756, 16.8421803, 16.9107742, 16.9792461, 17.0476151, 17.1158733, 17.1840057, 17.252039, 17.3199615, 17.3877621, 17.4554596, 17.5230465, 17.5905113, 17.657877, 17.7251339, 17.7922668, 17.8593025, 17.9262276, 17.9930363, 18.0597458, 18.1263466, 18.1928291, 18.2592163, 18.3254967, 18.3916626, 18.4577332, 18.4161739, 18.3832436, 18.3564987, 18.3343353, 18.3156605, 18.2996998, 18.2858982, 18.2796707, 18.2683544, 18.2583351, 18.2493935, 18.2413635, 18.2341061, 18.2275124, 18.2214909, 18.2186718, 18.1520729, 18.0854511, 18.0187855, 17.9520855, 17.8853626, 17.818594, 17.751791, 17.7183819, 17.6515274, 17.58465, 17.5177269, 17.4507694, 17.3837872, 17.3167629, 17.2497025, 17.2161655, 17.2218437, 17.2280502, 17.2313786, 17.1642151, 17.0970211, 17.0297794, 16.9624996, 16.8951931, 16.827837, 16.7604408, 16.693018, 16.6255474, 16.5580387, 16.4905033, 16.4229202, 16.355299, 16.2876549, 16.2199612, 16.1522312, 16.0844746, 16.016674, 15.9488373, 15.8809776, 15.8130713, 15.7451286, 15.677165, 15.6091566, 15.5411148, 15.4730511, 15.4049444, 15.3368044, 15.2686443, 15.2004423, 15.1322098, 15.0639572, 14.9956656, 14.9444294, 14.8760862, 14.807725, 14.7393246, 14.6708975, 14.6024542, 14.5339746, 14.4654694, 14.3969488, 14.3283939, 14.2598152, 14.1912241, 14.1225996, 14.0539532, 13.9852953, 13.9166069, 13.8478966, 13.8307247, 13.834096, 13.8378401, 13.8420267, 13.8467417, 13.8520956]","[-76.6233521, -77.6230698, -78.6227417, -79.622345, -80.6218643, -81.6212769, -82.6205292, -83.1200714, -83.114212, -83.1081467, -83.1018829, -83.0954285, -83.0887756, -83.0819321, -83.0749054, -83.067688, -83.0602875, -83.0527039, -83.0449448, -83.0370178, -83.0289154, -83.0206451, -83.012207, -83.0036087, -82.9948502, -82.985939, -82.9768753, -82.9676666, -82.9583054, -82.9488068, -82.9391708, -82.9293976, -82.9194946, -82.9094543, -82.8992996, -82.8890228, -82.878624, -82.8681183, -82.8574982, -82.8467789, -82.8359528, -82.8250275, -82.814003, -82.8028946, -82.7916946, -82.7804184, -82.7690506, -82.7576141, -82.746109, -82.7345276, -82.7228928, -82.7111893, -82.6994324, -82.6876221, -82.6757584, -82.6638565, -82.6519089, -82.6399307, -82.6279144, -82.6158676, -82.6037903, -82.5916977, -82.5795898, -82.5674591, -82.5553207, -82.5431747, -82.5310287, -82.5188751, -82.5067368, -82.4945984, -82.4824753, -82.4703598, -82.4582748, -81.4620667, -80.4650726, -79.467514, -78.4695358, -77.4712372, -76.4726868, -75.4739532, -74.9745178, -73.9755478, -72.9764633, -71.9772797, -70.9780121, -69.9786682, -68.9792709, -67.9798203, -67.4800797, -67.492218, -67.504364, -67.5165176, -67.5286636, -67.540802, -67.5529327, -67.5650558, -67.571106, -67.5831985, -67.5952682, -67.6073151, -67.6193314, -67.6313095, -67.6432495, -67.655159, -67.661087, -68.6605911, -69.6600418, -70.1597443, -70.1715927, -70.1833878, -70.1951294, -70.2068176, -70.2184448, -70.2300034, -70.2415009, -70.2529221, -70.2642746, -70.2755432, -70.2867279, -70.2978363, -70.3088455, -70.3197708, -70.3305969, -70.3413162, -70.351944, -70.3624573, -70.3728638, -70.3831635, -70.3933411, -70.4033966, -70.4133301, -70.4231415, -70.4328232, -70.4423676, -70.4517822, -70.4610596, -70.470192, -70.4791794, -70.4880219, -70.4967117, -70.505249, -70.5115433, -70.5198135, -70.5279083, -70.5358505, -70.5436249, -70.5512238, -70.5586624, -70.565918, -70.5730057, -70.5799103, -70.5866318, -70.5931778, -70.5995331, -70.6057053, -70.6116867, -70.6174774, -70.6230698, -70.6244431, -71.6243057, -72.6241608, -73.6239929, -74.6238022, -75.6235962]"
AQL,"[18.6924114, 18.6916103, 18.6908112, 18.6900139, 18.6892147, 18.6884155, 18.755085, 18.8217583, 18.8884182, 18.9550896, 18.9717617, 18.970974, 18.9701843, 18.9693928, 18.9685974, 18.968399, 18.9017105, 18.8350277, 18.7683544, 18.7639046, 18.7630978, 18.7622871, 18.7614708, 18.7606506, 18.7598267, 18.759203, 18.8258915, 18.8925915, 18.9592972, 18.9637508, 18.962925, 18.9620914, 18.9612503, 18.9604034, 18.9595451, 18.9586792, 18.9582424, 19.0249634, 19.0916996, 19.0925617, 19.0934162, 19.0936985, 19.1604309, 19.2271557, 19.2938957, 19.3606377, 19.4273739, 19.4941254, 19.5608807, 19.6276302, 19.6943932, 19.7611599, 19.8279209, 19.8946953, 19.9280777, 19.9284, 19.9951763, 20.0619583, 20.1287308, 20.1955204, 20.2372665, 20.237999, 20.2387257, 20.2394447, 20.2401581, 20.2408676, 20.2415714, 20.2422714, 20.242445, 20.3091679, 20.3759041, 20.4009304, 20.4016056, 20.4022789, 20.4029484, 20.403614, 20.4042797, 20.4049435, 20.4052734, 20.4719582, 20.5386353, 20.6053219, 20.6386585, 20.6392918, 20.6399231, 20.6405544, 20.6411858, 20.6418171, 20.6424503, 20.6430855, 20.6437206, 20.6443596, 20.6450005, 20.6456432, 20.5790634, 20.5124722, 20.4458809, 20.3792973, 20.3127022, 20.2461033, 20.1795139, 20.1129131, 20.1136265, 20.1143456, 20.1150684, 20.1150913, 20.0485115, 19.9819393, 19.9153557, 19.8487663, 19.7821865, 19.7155933, 19.6489983, 19.5824089, 19.5158081, 19.4492054, 19.3826103, 19.3160019, 19.2493896, 19.182785, 19.1161671, 19.0495491, 18.9829369, 18.9821186, 18.9813061, 18.9804974, 18.9796944, 18.9788933, 18.9780979, 18.9773045, 18.9765129, 18.9764862, 18.909832, 18.8431797, 18.776535, 18.7098808, 18.6932125]","[-2.8842952, -1.8843669, -0.8844388, 0.1154895, 1.1154177, 2.115346, 2.1273098, 2.1392353, 2.1511161, 2.1629529, 2.1659052, 3.1658356, 4.1657658, 5.1656952, 6.1656256, 6.4156075, 6.40378, 6.3919063, 6.3799911, 6.3791943, 7.3791218, 8.3790493, 9.3789759, 10.3789034, 11.378829, 12.1287737, 12.1406946, 12.1525745, 12.1644087, 12.1651964, 13.165123, 14.1650496, 15.1649752, 16.1648998, 17.1648235, 18.1647472, 18.6647091, 18.6764908, 18.6882229, 17.6882992, 16.6883736, 16.3550682, 16.3667412, 16.3783512, 16.3899002, 16.4013786, 16.4127865, 16.4241199, 16.4353771, 16.4465485, 16.4576378, 16.4686394, 16.4795456, 16.4903603, 16.4957294, 16.0790844, 16.0897484, 16.1003094, 16.1107616, 16.1211071, 16.1275158, 15.1275721, 14.1276274, 13.1276827, 12.127737, 11.1277914, 10.1278458, 9.1278992, 8.8779116, 8.8880606, 8.8980923, 8.901824, 7.9018745, 6.9019241, 5.9019737, 4.9020238, 3.9020729, 2.9021223, 2.4021468, 2.4120035, 2.4217334, 2.4313359, 2.4360874, 1.4361323, 0.4361772, -0.563778, -1.5637331, -2.5636883, -3.5636432, -4.5635982, -5.5635533, -6.563508, -7.5634623, -8.5634165, -8.5729389, -8.582592, -8.5923729, -8.6022758, -8.6123018, -8.6224461, -8.6327038, -8.643075, -9.6430187, -10.6429625, -11.6429062, -11.6762342, -11.6867104, -11.6972904, -11.7079744, -11.7187586, -11.7296362, -11.7406082, -11.7516699, -11.7628155, -11.774045, -11.7853546, -11.7967367, -11.8081942, -11.8197193, -11.8313084, -11.8429613, -11.8546724, -11.866436, -10.8665075, -9.86658, -8.8666515, -7.8667231, -6.8667936, -5.8668642, -4.8669343, -3.8670044, -3.8336766, -3.8454983, -3.8573668, -3.8692768, -3.8812284, -3.884223]"
AQR,"[20.6450005, 20.6443596, 20.6437206, 20.6430855, 20.6424503, 20.6418171, 20.6411858, 20.6405544, 20.6399231, 20.6392918, 20.6386585, 20.7053452, 20.7720337, 20.8387127, 20.9054012, 20.9387398, 21.0054283, 21.0721188, 21.1387997, 21.2054901, 21.2721825, 21.3388634, 21.4055557, 21.4388981, 21.5055923, 21.5722847, 21.5719166, 21.6386089, 21.7053108, 21.7720146, 21.7724724, 21.8391552, 21.9058475, 21.9725418, 22.0392227, 22.105917, 22.1058178, 22.1725159, 22.2392044, 22.3059025, 22.3726006, 22.439291, 22.505991, 22.5726891, 22.6393776, 22.7060795, 22.7727795, 22.8394699, 22.8561478, 22.8563976, 22.8566475, 22.8568974, 22.8571472, 22.8573971, 22.8576469, 22.9242668, 22.9908772, 23.057497, 23.1241169, 23.1907253, 23.2573433, 23.3239651, 23.3905716, 23.4571915, 23.5238094, 23.5904198, 23.6570377, 23.7236557, 23.7902641, 23.8568821, 23.9235001, 23.9401474, 23.9401722, 23.9401951, 23.9402199, 23.9402447, 23.9402695, 23.9402943, 23.9403191, 23.9403439, 23.9403687, 23.9403934, 23.9404182, 23.9404449, 23.9404716, 23.9404964, 23.9405231, 23.9405499, 23.9405766, 23.9406052, 23.9406319, 23.9406605, 23.9406891, 23.9407043, 23.874424, 23.8081322, 23.7418404, 23.6755581, 23.6092663, 23.5429726, 23.4766865, 23.4103909, 23.3440952, 23.2778091, 23.2115097, 23.1452084, 23.1120644, 23.0457592, 22.9794674, 22.9131603, 22.8468533, 22.7805519, 22.714241, 22.6479263, 22.5816212, 22.5153027, 22.4489822, 22.3826675, 22.3163414, 22.2500134, 22.1836891, 22.1173553, 22.0510159, 21.9846859, 21.9841805, 21.9836826, 21.9831905, 21.982708, 21.9822292, 21.9817581, 21.9812927, 21.9808311, 21.9803753, 21.9799232, 21.9794769, 21.9790325, 21.9785938, 21.978157, 21.9777222, 21.9772911, 21.9770775, 21.9105148, 21.8439503, 21.7773933, 21.7108269, 21.6442604, 21.5777035, 21.5111332, 21.444561, 21.4450874, 21.4456139, 21.446146, 21.4466801, 21.4472198, 21.4477634, 21.3812675, 21.3147621, 21.2482529, 21.1817513, 21.1152382, 21.0487232, 20.9822159, 20.9156933, 20.8491707, 20.7826538, 20.7161255, 20.6495934, 20.6495934, 20.6489239, 20.6482582, 20.6475983, 20.6469421, 20.6462917, 20.6456432]","[-7.5634623, -6.563508, -5.5635533, -4.5635982, -3.5636432, -2.5636883, -1.5637331, -0.563778, 0.4361772, 1.4361323, 2.4360874, 2.445492, 2.4547608, 2.4638896, 2.4728787, 2.4773185, 2.4860904, 2.494714, 2.503186, 2.5115056, 2.5196695, 2.5276737, 2.5355186, 2.5393796, 2.5469787, 2.5544112, 3.3043909, 3.3116543, 3.3187475, 3.3256676, 2.325691, 2.3324335, 2.3389995, 2.345386, 2.3515899, 2.3576119, 2.6076074, 2.6134443, 2.6190934, 2.6245549, 2.6298258, 2.6349041, 2.6397896, 2.6444802, 2.6489737, 2.6532702, 2.6573677, 2.6612642, 2.6622071, 1.662214, 0.6622211, -0.3377719, -1.3377649, -2.3377581, -3.3377509, -3.3341103, -3.330673, -3.3274388, -3.3244095, -3.3215861, -3.318969, -3.3165591, -3.3143575, -3.3123643, -3.3105805, -3.3090067, -3.3076429, -3.3064899, -3.3055482, -3.3048177, -3.3042989, -3.3042023, -4.3042021, -5.3042026, -6.3042021, -7.3042021, -8.3042021, -9.3042011, -10.3042021, -11.3042021, -12.3042011, -13.3042021, -14.3042021, -15.3042011, -16.3042011, -17.3042011, -18.3042011, -19.3042011, -20.3042011, -21.3042011, -22.3042011, -23.3042011, -24.3042011, -24.8042011, -24.8046646, -24.8053398, -24.8062248, -24.8073196, -24.8086243, -24.8101368, -24.811861, -24.8137913, -24.8159313, -24.8182774, -24.8208313, -24.8235893, -24.8250446, -24.8281116, -24.8313808, -24.8348522, -24.8385258, -24.8423996, -24.8464737, -24.8507462, -24.8552132, -24.8598766, -24.8647346, -24.8697853, -24.8750267, -24.8804569, -24.886076, -24.89188, -24.897871, -24.9040413, -23.9040642, -22.904089, -21.9041119, -20.9041328, -19.9041576, -18.9041786, -17.9041996, -16.9042225, -15.9042444, -14.9042645, -13.9042864, -12.9043083, -11.9043283, -10.9043484, -9.9043694, -8.9043894, -8.4043999, -8.4107742, -8.4173279, -8.424057, -8.4309626, -8.4380417, -8.4452906, -8.4527092, -8.4602947, -9.4602642, -10.4602337, -11.4602032, -12.4601717, -13.4601412, -14.4601107, -14.4678507, -14.4757547, -14.4838171, -14.4920359, -14.5004101, -14.5089369, -14.5176105, -14.5264339, -14.5354004, -14.544507, -14.5537539, -14.5631361, -14.5631361, -13.5631838, -12.5632305, -11.5632782, -10.563324, -9.5633707, -8.5634165]"
ARA,"[16.6023121, 16.599369, 16.5965939, 16.5939713, 16.591486, 16.5891285, 16.5868855, 16.5847492, 16.5827122, 16.5807629, 16.5788975, 16.5771084, 16.5753918, 16.57374, 16.5721493, 16.5713749, 16.6383476, 16.705307, 16.7722435, 16.8391743, 16.9060917, 16.9729862, 17.0398769, 17.1067524, 17.1736031, 17.2404499, 17.3072834, 17.3740921, 17.440897, 17.5076866, 17.5744514, 17.6412144, 17.7079601, 17.774683, 17.8414001, 17.9081039, 17.9747849, 17.9872856, 18.0539589, 18.1206169, 18.1539345, 18.155611, 18.1573524, 18.1591606, 18.1610413, 18.1630001, 18.1650429, 18.1671791, 18.1694145, 18.1717567, 18.1742172, 18.1768055, 18.1781502, 18.111515, 18.0448685, 17.9781895, 17.9114895, 17.8447781, 17.7780342, 17.7112675, 17.6778793, 17.6806793, 17.6836376, 17.6867752, 17.6901093, 17.6936588, 17.6974525, 17.7015152, 17.7058792, 17.7105846, 17.7156754, 17.7183819, 17.6515274, 17.58465, 17.5177269, 17.4507694, 17.3837872, 17.3167629, 17.2497025, 17.2161655, 17.1490555, 17.0819206, 17.0483322, 17.0431671, 17.0384045, 17.0361595, 16.9690266, 16.9522343, 16.9480133, 16.9463425, 16.8791924, 16.8120251, 16.7784214, 16.7746563, 16.7711372, 16.7691898, 16.7020359, 16.6348476, 16.605442]","[-60.2644577, -59.2647018, -58.2649345, -57.2651558, -56.2653656, -55.2655602, -54.2657509, -53.2659302, -52.2661018, -51.2662659, -50.2664223, -49.266571, -48.266716, -47.2668533, -46.2669868, -45.7670517, -45.755764, -45.7444, -45.7329674, -45.7214584, -45.7098846, -45.6982498, -45.686554, -45.6748009, -45.663002, -45.6511497, -45.6392517, -45.6273155, -45.6153374, -45.6033287, -45.5912895, -45.5792236, -45.567131, -45.555027, -45.5429001, -45.5307655, -45.5186234, -45.516346, -45.5041962, -45.4920464, -45.4859734, -46.4858246, -47.4856644, -48.4855003, -49.4853287, -50.4851494, -51.4849625, -52.4847679, -53.4845657, -54.4843521, -55.484127, -56.4838943, -56.9837723, -56.9959183, -57.0080643, -57.0202141, -57.0323563, -57.0444908, -57.0566177, -57.0687256, -57.0747757, -58.0745201, -59.0742531, -60.0739708, -61.0736694, -62.0733414, -63.0730019, -64.0726318, -65.0722427, -66.0718155, -67.0713577, -67.571106, -67.5831985, -67.5952682, -67.6073151, -67.6193314, -67.6313095, -67.6432495, -67.655159, -67.661087, -67.6729279, -67.6847076, -67.6905823, -66.6910324, -65.6914444, -65.1916428, -65.2033386, -65.2062531, -64.2066116, -63.7900925, -63.8017044, -63.8132477, -63.8189964, -62.8193169, -61.8196182, -61.2364578, -61.2478905, -61.2592506, -61.2641945]"
ARI,"[3.3296764, 3.2629132, 3.1961482, 3.1293912, 3.0626221, 2.995851, 2.9290884, 2.8623133, 2.7955368, 2.7287686, 2.6619883, 2.5952063, 2.5284328, 2.4616475, 2.3948605, 2.3280823, 2.261292, 2.1945004, 2.1277175, 2.1110165, 2.0442216, 1.9774355, 1.910638, 1.843839, 1.7770489, 1.7774149, 1.7777835, 1.778155, 1.7785295, 1.7789075, 1.7792891, 1.7796748, 1.7800647, 1.7804593, 1.7808588, 1.7812635, 1.7816738, 1.7820901, 1.7825128, 1.7829423, 1.7829783, 1.8499812, 1.916991, 1.9839973, 2.0342474, 2.0347428, 2.0352468, 2.0353744, 2.1023993, 2.1694303, 2.2364571, 2.3034699, 2.3704882, 2.4375021, 2.5045018, 2.5380099, 2.5386395, 2.5392814, 2.5399361, 2.5402129, 2.6072557, 2.6743031, 2.7413449, 2.8083711, 2.841892, 2.9089096, 2.9759309, 3.0429463, 3.1099458, 3.1769485, 3.2439451, 3.3109255, 3.3779089, 3.4448857, 3.4951112, 3.4942582, 3.493422, 3.4926019, 3.491797, 3.4910064, 3.4902291, 3.4894645, 3.4887116, 3.4879701, 3.4872389, 3.4865174, 3.4860415, 3.4191966, 3.4024823, 3.401788, 3.4011021, 3.4004235, 3.3997519, 3.3990867, 3.3984275, 3.3977737, 3.397125, 3.3964808, 3.3964274]","[10.3724642, 10.3815842, 10.3905621, 10.399394, 10.4080801, 10.4166164, 10.4249992, 10.4332285, 10.4413004, 10.4492102, 10.4569597, 10.4645443, 10.471961, 10.4792089, 10.4862852, 10.493187, 10.4999142, 10.5064631, 10.5128307, 10.5143948, 10.5205364, 10.5264931, 10.5322638, 10.5378466, 10.5432396, 11.5432253, 12.543211, 13.5431957, 14.5431814, 15.5431671, 16.5431519, 17.5431347, 18.5431213, 19.5431042, 20.5430889, 21.5430737, 22.5430565, 23.5430393, 24.5430241, 25.5430069, 25.6263351, 25.6209259, 25.615324, 25.6095352, 25.6050701, 26.6050472, 27.6050262, 27.8550186, 27.8489037, 27.8426018, 27.8361206, 27.8294601, 27.8226223, 27.8156071, 27.8084221, 27.8047638, 28.8047314, 29.804697, 30.8046589, 31.2213154, 31.2138691, 31.206255, 31.1984749, 31.1905346, 31.1865025, 31.1783218, 31.1699848, 31.1614933, 31.1528511, 31.1440601, 31.1351223, 31.1260452, 31.1168251, 31.1074677, 31.1003609, 30.10042, 29.1004791, 28.1005383, 27.1005955, 26.1006508, 25.1007061, 24.1007614, 23.1008148, 22.1008682, 21.1009197, 20.1009712, 19.4343338, 19.4437752, 19.4461136, 18.4461632, 17.4462109, 16.4462585, 15.4463053, 14.446352, 13.4463978, 12.4464436, 11.4464884, 10.4465332, 10.3632069]"
