id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,greek_letters,spect_desig,color,linecolor
68483,68702.0,122451.0,5267.0,,Bet Cen,Hadar,14.063729,-60.373039,120.1923,-33.96,-25.06,6.0,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-1.89e-06,2.194e-05,-1.255e-05,3.681875660376148,-1.053708314075195,-1.646427259e-07,-1.21494308e-07,Bet,,Cen,1,68483,,7171.33482657721,Bet,0.634,0.594,β,B,#93C2F1,#93C2F1
68486,68705.0,122703.0,5272.0,,,,14.064747,-22.421602,85.4701,-12.13,5.87,-19.0,6.3,1.641,F3IV,0.452,-67.744029,-40.658398,-32.599849,1.202e-05,1.308e-05,9.66e-06,3.68214221643088,-0.3913307799875737,-5.88078994e-08,2.8458563e-08,,,Vir,1,68486,,19.21321311403724,,,,,F,#d4bf94,#d4bf94
68488,68707.0,122797.0,5275.0,,,,14.065488,4.900973,59.7015,-9.97,-2.75,-23.0,6.24,2.36,F4V,0.406,-50.996349,-30.620282,5.100512,1.855e-05,1.45e-05,-2.8e-06,3.6823361230606655,0.08553811834171,-4.83359239e-08,-1.3332376e-08,,,Vir,1,68488,,9.908319448927676,,,,,F,#d4bf94,#d4bf94
68520,68739.0,122815.0,5276.0,,,,14.070711,-5.381416,100.9082,-16.35,-12.66,-9.0,6.39,1.37,K0,1.321,-86.059074,-51.833605,-9.463708,4.22e-06,1.188e-05,-5.3e-06,3.683703531413428,-0.0939234310523462,-7.92670367e-08,-6.1377411e-08,,,Vir,1,68520,,24.660393372343385,,,,,K,#F99220,#F99220
68537,68756.0,123299.0,5291.0,,11Alp Dra,Thuban,14.073165,64.37585,92.9368,-56.52,17.19,-13.0,3.67,-1.171,A0III SB,-0.049,-34.416017,-20.758849,83.796391,-2.25e-06,2.838e-05,-8.64e-06,3.684345906353943,1.1235705482203713,-2.740166922e-07,8.3339471e-08,Alp,11.0,Dra,1,68537,,256.09435171567696,,,,α,A,#f3e8d3,#f3e8d3
68544,68763.0,122837.0,5277.0,,,,14.074161,-14.971708,125.9446,-35.28,-21.42,-15.0,6.35,0.849,K1III+...,1.081,-104.167616,-62.868721,-32.536751,4.45e-06,2.785e-05,-8.67e-06,3.684606852380168,-0.2613055966620375,-1.710422665e-07,-1.0384709e-07,,,Vir,1,68544,,39.847400971777496,,,,,K,#F99220,#F99220
68557,68776.0,122910.0,5283.0,,,,14.077063,2.297531,120.1923,-38.82,0.9,-29.0,6.28,0.881,K0,1.022,-102.773135,-62.133669,4.818348,1.368e-05,3.47e-05,-6.7e-07,3.68536649420913,0.0400994881790762,-1.882046707e-07,4.363323e-09,,,Vir,1,68557,,38.69011316551085,,,,,K,#F99220,#F99220
68596,68815.0,122250.0,5261.0,,The Aps,,14.088903,-76.796752,113.1222,-87.41,-31.23,10.0,5.69,0.422,M6.5III,1.239,-22.069657,-13.435885,-110.13201,-1.268e-05,4.84e-05,-1.387e-05,3.688466137963166,-1.3403561788139802,-4.237756381e-07,-1.51407312e-07,The,,Aps,1,68596,,59.04729404069869,The,5.876,5.426,θ,M,#FF2620,#FF2620
68622,68842.0,122844.0,5278.0,,,,14.09625,-54.669362,156.25,-52.97,-25.03,-36.0,6.2,0.231,A5III/IV,0.225,-77.089459,-47.136266,-127.472937,1.043e-05,5.341e-05,1.907e-05,3.690389603949192,-0.95416037380256,-2.568058065e-07,-1.21348864e-07,,,Cen,1,68622,,70.40443214699752,V992,6.251,6.151,,A,#f3e8d3,#f3e8d3
68642,68862.0,122980.0,5285.0,,Chi Cen,,14.10077,-41.179633,156.4945,-24.42,-21.63,12.0,4.36,-1.612,B2V,-0.198,-100.416272,-61.562968,-103.039485,-8.35e-06,1.661e-05,-2.043e-05,3.691572931074368,-0.7187201775704912,-1.183915007e-07,-1.04865199e-07,Chi,,Cen,1,68642,,384.4147117595778,Chi,4.373,4.353,χ,B,#93C2F1,#93C2F1
68652,68872.0,123004.0,5286.0,,,,14.10303,-43.091702,131.2336,-6.7,-34.15,22.0,6.18,0.59,G8III,0.986,-81.672989,-50.138419,-89.654733,-3.58e-06,2.8e-06,-3.124e-05,3.69216461377798,-0.7520920836838711,-3.24825165e-08,-1.65563871e-07,,,Cen,1,68652,,50.5824662003114,,,,,G,#FFD423,#FFD423
68675,68895.0,123123.0,5287.0,Gl 538.1,49Pi  Hya,,14.106193,-26.682361,30.9598,43.05,-140.82,27.3,3.25,0.796,K2III,1.091,-23.563202,-14.492156,-13.902421,-9.78e-06,-1.36e-05,-3.142e-05,3.692992633232533,-0.46569505275296,2.087122894e-07,-6.82714624e-07,Pi,49.0,Hya,1,68675,,41.84080195674278,,,,π,K,#F99220,#F99220
68682,68902.0,122879.0,5281.0,,,,14.106989,-59.715905,,-3.26,-1.17,2.0,6.39,-13.61,B0Ia,0.079,-42949.338009,-26427.589624,-86353.557395,-0.00041194,0.0016021,-0.00028779,3.6932009537068975,-1.0422391626328,-1.58049259e-08,-5.67232e-09,,,Cen,1,68682,,24210290.4673618,,,,,B,#93C2F1,#93C2F1
68714,68933.0,123139.0,5288.0,Gl 539,5The Cen,Menkent,14.111395,-36.369954,18.0343,-519.29,-517.87,1.3,2.06,0.78,K0IIIb,1.011,-12.358808,-7.624204,-10.694288,-1.9e-06,5.217e-05,-3.724e-05,3.6943545480965847,-0.6347754526653112,-2.5175889617e-06,-2.510704607e-06,The,5.0,Cen,1,68714,,42.46195639463128,,,,θ,K,#F99220,#F99220
68720,68940.0,123255.0,5290.0,,95    Vir,,14.111896,-9.313515,58.0383,-140.62,4.05,-36.0,5.46,1.641,F2IV,0.347,-48.739743,-30.076937,-9.392669,9.99e-06,5.265e-05,7.08e-06,3.694485645731272,-0.1625515051941525,-6.817449975e-07,1.9634954e-08,,95.0,Vir,1,68720,,19.21321311403724,,,,,F,#d4bf94,#d4bf94
68736,68956.0,124063.0,5305.0,,3    UMi,,14.115681,74.593781,130.8901,-53.19,12.74,-4.0,6.43,0.845,A7V,0.16,-29.573583,-18.289881,126.186736,-1.02e-05,3.337e-05,-1.8e-06,3.695476618616529,1.3019070844460423,-2.578723966e-07,6.1765262e-08,,3.0,UMi,1,68736,,39.99447497610976,,,,,A,#f3e8d3,#f3e8d3
68791,69011.0,123247.0,,,,,14.128005,-48.704026,93.633,-35.53,-27.73,0.0,6.43,1.573,B9V,0.001,-52.449084,-32.672121,-70.347457,-5e-07,1.869e-05,-8.31e-06,3.698703005774869,-0.8500456113397888,-1.722543007e-07,-1.34438833e-07,,,Cen,1,68791,,20.455024311093545,,,,,B,#93C2F1,#93C2F1
68792,69012.0,123227.0,,,,,14.128205,-49.867607,46.5333,-37.28,106.39,0.0,6.45,3.111,G3V,0.66,-25.457106,-15.859848,-35.577366,-2.002e-05,-2.56e-06,1.547e-05,3.698755357537774,-0.8703539398088526,-1.807385401e-07,5.15793274e-07,,,Cen,1,68792,,4.961351535855693,,,,,G,#FFD423,#FFD423
68818,69038.0,123657.0,5299.0,,,,14.132154,43.854452,157.2327,11.73,-29.76,-36.0,5.13,-0.853,M4.2III,1.493,-96.17074,-60.052884,108.93512,1.392e-05,-1.85e-06,-4.187e-05,3.6997891846006414,0.7654045855451788,5.68686447e-08,-1.44280551e-07,,,Boo,1,68818,,191.07329810428715,BY,5.213,5.073,,M,#FF2620,#FF2620
68845,69065.0,123151.0,5289.0,,,,14.137301,-63.20795,112.4859,19.17,35.26,39.0,6.39,1.135,G8/K0III,1.013,-42.971123,-26.913504,-100.410667,-2.423e-05,-2.751e-05,-2.694e-05,3.7011367862143474,-1.103186845228599,9.29387825e-08,1.70945303e-07,,,Cen,1,68845,,30.61963433690677,,,,,G,#FFD423,#FFD423
